[[0.396, 10.125, 12.625, 0.617], [0.409, 12.0, 11.0, 0.672], [1, 0]]
[[0.451, 13.739, 10.101, 0.727], [0.44, 12.868, 10.824, 0.731], [1, 0]]
[[0.449, 13.886, 10.19, 0.766], [0.444, 13.152, 10.443, 0.725], [1, 0]]
[[0.442, 12.456, 10.608, 0.746], [0.438, 13.949, 11.595, 0.73], [0, 1]]
[[0.449, 11.875, 11.438, 0.733], [0.459, 12.458, 9.312, 0.741], [1, 0]]
[[0.448, 12.119, 11.548, 0.73], [0.45, 13.674, 10.326, 0.737], [0, 1]]
[[0.191, 5.5, 7.5, 0.283], [0.234, 8.5, 7.0, 0.34], [0, 1]]
[[0.355, 12.833, 8.667, 0.687], [0.379, 13.5, 8.0, 0.632], [0, 1]]
[[0.432, 13.258, 11.613, 0.701], [0.459, 12.613, 9.968, 0.725], [1, 0]]
[[0.244, 10.0, 4.5, 0.385], [0.279, 6.0, 4.5, 0.326], [0, 1]]
[[0.417, 17.242, 10.694, 0.686], [0.427, 13.323, 11.887, 0.742], [0, 1]]
[[0.441, 15.169, 11.494, 0.707], [0.26, 9.0, 4.0, 0.357], [1, 0]]
[[0.428, 12.467, 10.867, 0.702], [0.405, 12.429, 9.643, 0.681], [0, 1]]
[[0.451, 13.887, 10.129, 0.733], [0.433, 11.984, 11.726, 0.753], [0, 1]]
[[0.428, 13.208, 10.958, 0.71], [0.432, 14.0, 10.48, 0.741], [1, 0]]
[[0.452, 13.576, 10.333, 0.747], [0.45, 12.968, 10.097, 0.742], [0, 1]]
[[0.44, 12.571, 10.643, 0.743], [0.434, 13.722, 12.153, 0.745], [0, 1]]
[[0.434, 11.918, 11.754, 0.753], [0.454, 12.41, 9.623, 0.722], [0, 1]]
[[0.411, 15.08, 12.16, 0.674], [0.418, 13.5, 11.692, 0.711], [1, 0]]
[[0.424, 10.947, 9.227, 0.755], [0.434, 12.855, 12.105, 0.734], [1, 0]]
[[0.444, 13.662, 10.676, 0.76], [0.438, 12.681, 10.783, 0.782], [1, 0]]
[[0.43, 13.393, 9.714, 0.726], [0.417, 13.967, 11.5, 0.716], [1, 0]]
[[0.45, 13.671, 10.071, 0.729], [0.455, 12.775, 9.535, 0.717], [0, 1]]
[[0.445, 14.844, 11.938, 0.722], [0.448, 12.971, 10.382, 0.737], [0, 1]]
[[0.437, 13.488, 11.951, 0.737], [0.444, 12.524, 10.634, 0.783], [1, 0]]
[[0.419, 16.617, 10.988, 0.689], [0.434, 11.802, 11.679, 0.756], [0, 1]]
[[0.441, 13.479, 11.375, 0.767], [0.448, 13.4, 10.32, 0.73], [1, 0]]
[[0.436, 12.6, 10.9, 0.699], [0.416, 13.75, 9.083, 0.748], [0, 1]]
[[0.451, 12.118, 11.5, 0.717], [0.422, 15.03, 11.576, 0.698], [1, 0]]
[[0.408, 12.375, 11.0, 0.658], [0.389, 12.111, 8.444, 0.71], [0, 1]]
[[0.287, 10.667, 7.0, 0.535], [0.286, 6.667, 7.667, 0.556], [1, 0]]
[[0.433, 12.825, 9.86, 0.756], [0.445, 14.315, 11.574, 0.767], [1, 0]]
[[0.438, 16.254, 11.06, 0.739], [0.445, 13.448, 10.642, 0.755], [0, 1]]
[[0.433, 13.745, 11.894, 0.709], [0.456, 12.681, 11.043, 0.717], [0, 1]]
[[0.436, 12.725, 10.75, 0.726], [0.452, 13.462, 8.718, 0.711], [0, 1]]
