[['Portland Trail Blazers', 0.471, 8.0, 12.0, 0.692], ['San Antonio Spurs', 0.5, 16.0, 8.0, 0.765], 0]
[['Utah Jazz', 0.416, 20.0, 7.0, 0.684], ['Golden State Warriors', 0.456, 19.0, 16.0, 0.833], 1]
[['Houston Rockets', 0.421, 12.0, 11.0, 0.6], ['Los Angeles Lakers', 0.459, 18.0, 12.0, 0.677], 1]
[['Milwaukee Bucks', 0.379, 14.0, 18.0, 0.591], ['Orlando Magic', 0.438, 10.0, 9.0, 0.743], 0]
[['Washington Wizards', 0.364, 18.0, 23.0, 0.711], ['Indiana Pacers', 0.413, 17.0, 14.0, 0.833], 0]
[['Philadelphia 76ers', 0.463, 17.0, 15.0, 0.609], ['Toronto Raptors', 0.482, 10.0, 10.0, 0.882], 0]
[['Chicago Bulls', 0.396, 16.0, 19.0, 0.731], ['New Jersey Nets', 0.402, 17.0, 14.0, 0.902], 0]
[['San Antonio Spurs', 0.437, 9.0, 7.0, 0.727], ['Memphis Grizzlies', 0.475, 14.0, 6.0, 0.75], 1]
[['Sacramento Kings', 0.444, 15.0, 8.0, 0.833], ['New Orleans Hornets', 0.506, 19.0, 11.0, 0.762], 0]
[['Dallas Mavericks', 0.364, 15.0, 16.0, 0.6], ['Cleveland Cavaliers', 0.478, 16.0, 5.0, 0.85], 1]
[['Seattle SuperSonics', 0.417, 19.0, 14.0, 0.593], ['Denver Nuggets', 0.462, 15.0, 13.0, 0.714], 0]
[['Detroit Pistons', 0.388, 10.0, 12.0, 0.767], ['Miami Heat', 0.44, 17.0, 5.0, 0.6], 1]
[['Houston Rockets', 0.444, 20.0, 15.0, 0.69], ['Utah Jazz', 0.488, 14.0, 9.0, 0.767], 1]
[['Phoenix Suns', 0.414, 18.0, 11.0, 0.8], ['Seattle SuperSonics', 0.5, 19.0, 5.0, 0.647], 1]
[['Milwaukee Bucks', 0.483, 19.0, 14.0, 0.714], ['Charlotte Bobcats', 0.487, 18.0, 17.0, 0.512], 0]
[['Miami Heat', 0.375, 17.0, 17.0, 0.308], ['Indiana Pacers', 0.398, 14.0, 13.0, 0.667], 0]
[['Detroit Pistons', 0.403, 12.0, 10.0, 0.667], ['Orlando Magic', 0.589, 13.0, 9.0, 0.767], 1]
[['Dallas Mavericks', 0.438, 10.0, 7.0, 0.8], ['Atlanta Hawks', 0.456, 15.0, 14.0, 0.806], 0]
[['New York Knicks', 0.462, 11.0, 15.0, 0.609], ['Cleveland Cavaliers', 0.469, 13.0, 13.0, 0.71], 0]
[['Toronto Raptors', 0.368, 19.0, 8.0, 0.722], ['New Jersey Nets', 0.506, 12.0, 6.0, 0.938], 1]
[['Washington Wizards', 0.35, 20.0, 14.0, 0.771], ['Boston Celtics', 0.481, 15.0, 10.0, 0.667], 0]
[['Denver Nuggets', 0.398, 12.0, 9.0, 0.737], ['Minnesota Timberwolves', 0.466, 18.0, 9.0, 0.737], 1]
[['Portland Trail Blazers', 0.482, 13.0, 9.0, 0.7], ['New Orleans Hornets', 0.564, 11.0, 8.0, 0.875], 0]
[['Philadelphia 76ers', 0.384, 15.0, 12.0, 0.632], ['Chicago Bulls', 0.422, 20.0, 18.0, 0.735], 1]
[['Sacramento Kings', 0.387, 14.0, 6.0, 0.769], ['San Antonio Spurs', 0.413, 19.0, 11.0, 0.88], 0]
[['Golden State Warriors', 0.468, 10.0, 11.0, 0.76], ['Los Angeles Clippers', 0.482, 18.0, 15.0, 0.861], 0]
[['Los Angeles Lakers', 0.425, 13.0, 9.0, 0.682], ['Phoenix Suns', 0.565, 20.0, 11.0, 0.75], 1]
[['New Jersey Nets', 0.395, 14.0, 12.0, 0.656], ['Philadelphia 76ers', 0.413, 16.0, 12.0, 0.76], 1]
[['Orlando Magic', 0.348, 15.0, 18.0, 0.7], ['Washington Wizards', 0.429, 13.0, 9.0, 0.857], 1]
[['Indiana Pacers', 0.485, 27.0, 6.0, 0.725], ['Memphis Grizzlies', 0.528, 17.0, 10.0, 0.852], 1]
[['Sacramento Kings', 0.5, 15.0, 11.0, 0.906], ['Dallas Mavericks', 0.652, 14.0, 7.0, 0.897], 0]
[['Portland Trail Blazers', 0.396, 10.0, 15.0, 0.733], ['Houston Rockets', 0.408, 18.0, 10.0, 0.941], 0]
[['Chicago Bulls', 0.329, 15.0, 13.0, 0.821], ['Milwaukee Bucks', 0.351, 19.0, 10.0, 0.765], 0]
[['Golden State Warriors', 0.506, 20.0, 11.0, 0.708], ['Utah Jazz', 0.63, 16.0, 12.0, 0.679], 0]
[['Boston Celtics', 0.367, 13.0, 12.0, 0.792], ['Toronto Raptors', 0.442, 17.0, 8.0, 0.857], 1]
[['Seattle SuperSonics', 0.461, 12.0, 12.0, 0.765], ['Los Angeles Clippers', 0.47, 22.0, 10.0, 0.818], 0]
[['Charlotte Bobcats', 0.44, 12.0, 12.0, 0.769], ['Miami Heat', 0.464, 18.0, 9.0, 0.818], 1]
[['Minnesota Timberwolves', 0.448, 13.0, 14.0, 0.6], ['New York Knicks', 0.477, 14.0, 8.0, 0.769], 0]
[['Atlanta Hawks', 0.457, 14.0, 13.0, 0.667], ['Detroit Pistons', 0.458, 19.0, 12.0, 0.808], 0]
[['New Orleans Hornets', 0.367, 15.0, 15.0, 0.75], ['Denver Nuggets', 0.384, 15.0, 12.0, 0.731], 1]
[['Cleveland Cavaliers', 0.443, 20.0, 12.0, 0.75], ['Phoenix Suns', 0.449, 10.0, 9.0, 0.72], 0]
[['Utah Jazz', 0.488, 16.0, 9.0, 0.722], ['Los Angeles Lakers', 0.558, 18.0, 6.0, 0.811], 0]
[['Houston Rockets', 0.42, 10.0, 11.0, 0.905], ['Dallas Mavericks', 0.468, 12.0, 8.0, 0.964], 0]
[['Phoenix Suns', 0.366, 22.0, 23.0, 0.679], ['Charlotte Bobcats', 0.5, 9.0, 14.0, 0.762], 1]
[['Atlanta Hawks', 0.382, 19.0, 8.0, 0.719], ['New Jersey Nets', 0.436, 17.0, 12.0, 0.75], 0]
[['Denver Nuggets', 0.5, 12.0, 12.0, 0.625], ['New York Knicks', 0.527, 18.0, 17.0, 0.586], 0]
[['Toronto Raptors', 0.416, 15.0, 6.0, 0.722], ['Milwaukee Bucks', 0.603, 17.0, 8.0, 0.688], 0]
[['Orlando Magic', 0.479, 9.0, 10.0, 0.705], ['Minnesota Timberwolves', 0.494, 14.0, 12.0, 0.72], 1]
[['Los Angeles Clippers', 0.357, 12.0, 15.0, 0.853], ['Chicago Bulls', 0.456, 15.0, 12.0, 0.667], 1]
[['San Antonio Spurs', 0.407, 18.0, 25.0, 0.588], ['Houston Rockets', 0.464, 12.0, 4.0, 0.609], 0]
[['Seattle SuperSonics', 0.449, 17.0, 13.0, 0.784], ['Sacramento Kings', 0.481, 25.0, 12.0, 0.778], 0]
[['Cleveland Cavaliers', 0.429, 11.0, 9.0, 0.692], ['Golden State Warriors', 0.471, 12.0, 9.0, 0.68], 1]
[['New Orleans Hornets', 0.472, 12.0, 9.0, 0.909], ['Los Angeles Lakers', 0.473, 15.0, 11.0, 0.889], 1]
[['Phoenix Suns', 0.407, 14.0, 10.0, 0.882], ['Atlanta Hawks', 0.456, 16.0, 17.0, 0.826], 0]
[['Los Angeles Clippers', 0.386, 15.0, 9.0, 0.792], ['Indiana Pacers', 0.41, 16.0, 13.0, 0.8], 1]
[['Charlotte Bobcats', 0.307, 26.0, 18.0, 0.739], ['Philadelphia 76ers', 0.458, 20.0, 16.0, 0.719], 0]
[['Orlando Magic', 0.382, 8.0, 12.0, 0.846], ['Toronto Raptors', 0.5, 17.0, 7.0, 0.773], 1]
[['Denver Nuggets', 0.459, 24.0, 5.0, 0.75], ['Boston Celtics', 0.645, 20.0, 7.0, 0.636], 0]
[['Miami Heat', 0.431, 14.0, 7.0, 0.571], ['San Antonio Spurs', 0.479, 14.0, 8.0, 0.619], 0]
[['Memphis Grizzlies', 0.376, 18.0, 21.0, 0.781], ['Seattle SuperSonics', 0.459, 18.0, 13.0, 0.895], 1]
[['New Orleans Hornets', 0.391, 12.0, 16.0, 0.864], ['Portland Trail Blazers', 0.407, 11.0, 12.0, 0.75], 0]
[['Cleveland Cavaliers', 0.435, 18.0, 15.0, 0.655], ['Utah Jazz', 0.459, 17.0, 9.0, 0.85], 0]
[['Washington Wizards', 0.389, 16.0, 8.0, 0.844], ['New Jersey Nets', 0.397, 15.0, 8.0, 0.846], 0]
[['Detroit Pistons', 0.444, 17.0, 7.0, 0.767], ['Chicago Bulls', 0.459, 14.0, 15.0, 0.667], 0]
[['Dallas Mavericks', 0.494, 7.0, 8.0, 0.533], ['Golden State Warriors', 0.5, 12.0, 10.0, 0.867], 1]
[['Indiana Pacers', 0.425, 15.0, 10.0, 0.65], ['Charlotte Bobcats', 0.451, 16.0, 14.0, 0.614], 0]
[['Toronto Raptors', 0.455, 11.0, 13.0, 0.696], ['Philadelphia 76ers', 0.459, 15.0, 13.0, 0.757], 1]
[['Atlanta Hawks', 0.429, 19.0, 8.0, 0.72], ['Boston Celtics', 0.603, 18.0, 8.0, 0.72], 0]
[['Phoenix Suns', 0.438, 12.0, 11.0, 0.867], ['Miami Heat', 0.489, 15.0, 13.0, 0.786], 1]
[['Orlando Magic', 0.443, 20.0, 8.0, 0.758], ['New York Knicks', 0.471, 15.0, 9.0, 0.821], 1]
[['Los Angeles Clippers', 0.351, 12.0, 7.0, 0.857], ['Detroit Pistons', 0.483, 12.0, 13.0, 0.667], 0]
[['San Antonio Spurs', 0.432, 9.0, 9.0, 0.647], ['New Orleans Hornets', 0.519, 10.0, 7.0, 0.722], 1]
[['Denver Nuggets', 0.383, 24.0, 14.0, 0.742], ['Washington Wizards', 0.511, 19.0, 13.0, 0.842], 1]
[['Milwaukee Bucks', 0.381, 11.0, 11.0, 0.833], ['Houston Rockets', 0.434, 11.0, 14.0, 0.923], 0]
[['Memphis Grizzlies', 0.416, 12.0, 15.0, 0.708], ['Portland Trail Blazers', 0.512, 13.0, 8.0, 0.833], 0]
[['Minnesota Timberwolves', 0.389, 15.0, 18.0, 0.786], ['Los Angeles Lakers', 0.474, 18.0, 16.0, 0.732], 0]
[['Cleveland Cavaliers', 0.38, 11.0, 18.0, 0.727], ['Sacramento Kings', 0.4, 16.0, 7.0, 0.943], 1]
[['Utah Jazz', 0.471, 17.0, 12.0, 0.655], ['Seattle SuperSonics', 0.488, 18.0, 13.0, 0.667], 1]
[['Denver Nuggets', 0.438, 20.0, 14.0, 0.542], ['Indiana Pacers', 0.439, 22.0, 7.0, 0.853], 1]
[['Phoenix Suns', 0.471, 14.0, 10.0, 0.421], ['Orlando Magic', 0.479, 11.0, 10.0, 0.8], 1]
[['Boston Celtics', 0.446, 14.0, 6.0, 0.811], ['New Jersey Nets', 0.456, 11.0, 12.0, 0.857], 1]
[['Toronto Raptors', 0.333, 20.0, 11.0, 0.632], ['Chicago Bulls', 0.547, 23.0, 7.0, 0.9], 1]
[['Memphis Grizzlies', 0.471, 25.0, 8.0, 0.667], ['Utah Jazz', 0.533, 14.0, 12.0, 0.833], 0]
[['Dallas Mavericks', 0.354, 13.0, 14.0, 0.952], ['Portland Trail Blazers', 0.5, 16.0, 6.0, 0.56], 0]
[['Minnesota Timberwolves', 0.405, 15.0, 14.0, 0.85], ['Sacramento Kings', 0.439, 17.0, 17.0, 0.75], 0]
[['Washington Wizards', 0.39, 11.0, 12.0, 0.771], ['Atlanta Hawks', 0.432, 12.0, 18.0, 0.8], 1]
[['Houston Rockets', 0.397, 12.0, 8.0, 0.933], ['Charlotte Bobcats', 0.433, 19.0, 11.0, 0.852], 1]
[['Miami Heat', 0.373, 18.0, 12.0, 0.765], ['New York Knicks', 0.438, 16.0, 10.0, 0.556], 1]
[['New Orleans Hornets', 0.405, 18.0, 11.0, 0.667], ['Philadelphia 76ers', 0.474, 16.0, 11.0, 0.692], 1]
[['Milwaukee Bucks', 0.415, 14.0, 15.0, 0.667], ['San Antonio Spurs', 0.557, 13.0, 5.0, 0.871], 0]
