[['Boston Celtics', 0.414, 13.0, 6.0, 0.781], ['Cleveland Cavaliers', 0.444, 14.0, 6.0, 0.846], 1]
[['Washington Wizards', 0.395, 9.0, 11.0, 0.794], ['Dallas Mavericks', 0.464, 9.0, 9.0, 0.833], 1]
[['Houston Rockets', 0.37, 16.0, 10.0, 0.759], ['Portland Trail Blazers', 0.429, 26.0, 12.0, 0.909], 0]
[['Los Angeles Clippers', 0.412, 16.0, 17.0, 0.676], ['Los Angeles Lakers', 0.448, 20.0, 15.0, 0.688], 0]
[['Indiana Pacers', 0.529, 10.0, 8.0, 0.724], ['Atlanta Hawks', 0.534, 25.0, 6.0, 0.84], 0]
[['Philadelphia 76ers', 0.5, 13.0, 8.0, 0.7], ['Orlando Magic', 0.556, 15.0, 8.0, 0.824], 0]
[['Cleveland Cavaliers', 0.349, 14.0, 13.0, 0.649], ['Toronto Raptors', 0.453, 13.0, 7.0, 0.757], 0]
[['Charlotte Bobcats', 0.311, 18.0, 14.0, 0.52], ['Boston Celtics', 0.434, 12.0, 10.0, 0.789], 0]
[['New York Knicks', 0.379, 13.0, 12.0, 0.81], ['Miami Heat', 0.566, 16.0, 7.0, 0.824], 0]
[['New Orleans Hornets', 0.5, 10.0, 5.0, 0.591], ['San Antonio Spurs', 0.523, 10.0, 11.0, 0.7], 0]
[['Sacramento Kings', 0.405, 12.0, 10.0, 0.786], ['Oklahoma City Thunder', 0.513, 12.0, 8.0, 0.8], 0]
[['New Jersey Nets', 0.366, 10.0, 18.0, 0.743], ['Minnesota Timberwolves', 0.42, 22.0, 14.0, 0.862], 0]
[['Detroit Pistons', 0.361, 14.0, 17.0, 0.645], ['Memphis Grizzlies', 0.514, 9.0, 10.0, 0.552], 1]
[['Phoenix Suns', 0.513, 14.0, 10.0, 0.741], ['Los Angeles Clippers', 0.558, 15.0, 7.0, 0.556], 1]
[['Houston Rockets', 0.465, 18.0, 13.0, 0.8], ['Golden State Warriors', 0.494, 16.0, 13.0, 0.652], 1]
[['Utah Jazz', 0.457, 15.0, 10.0, 0.862], ['Denver Nuggets', 0.483, 13.0, 14.0, 0.767], 0]
[['San Antonio Spurs', 0.417, 9.0, 15.0, 0.679], ['Chicago Bulls', 0.423, 13.0, 8.0, 0.652], 0]
[['Denver Nuggets', 0.346, 7.0, 14.0, 0.805], ['Portland Trail Blazers', 0.459, 8.0, 5.0, 0.776], 1]
[['New York Knicks', 0.38, 15.0, 12.0, 0.806], ['Charlotte Bobcats', 0.388, 17.0, 10.0, 0.833], 0]
[['Milwaukee Bucks', 0.4, 20.0, 12.0, 0.579], ['Philadelphia 76ers', 0.457, 19.0, 6.0, 0.853], 0]
[['Washington Wizards', 0.41, 12.0, 11.0, 0.912], ['Atlanta Hawks', 0.443, 14.0, 8.0, 0.636], 0]
[['Sacramento Kings', 0.375, 10.0, 21.0, 0.65], ['New Orleans Hornets', 0.452, 11.0, 10.0, 0.813], 0]
[['Orlando Magic', 0.383, 6.0, 7.0, 0.72], ['New Jersey Nets', 0.493, 14.0, 9.0, 0.6], 1]
[['Cleveland Cavaliers', 0.419, 17.0, 15.0, 0.706], ['Minnesota Timberwolves', 0.476, 11.0, 10.0, 0.7], 1]
[['Toronto Raptors', 0.443, 14.0, 15.0, 0.786], ['Memphis Grizzlies', 0.512, 17.0, 18.0, 0.8], 0]
[['Miami Heat', 0.367, 14.0, 12.0, 0.808], ['Indiana Pacers', 0.435, 15.0, 13.0, 0.761], 1]
[['Oklahoma City Thunder', 0.371, 15.0, 9.0, 0.765], ['Detroit Pistons', 0.434, 11.0, 9.0, 0.767], 1]
[['Chicago Bulls', 0.415, 15.0, 16.0, 0.741], ['Boston Celtics', 0.581, 16.0, 10.0, 0.833], 0]
[['Los Angeles Clippers', 0.459, 9.0, 3.0, 0.706], ['Utah Jazz', 0.5, 10.0, 12.0, 0.76], 0]
[['Golden State Warriors', 0.424, 22.0, 9.0, 0.821], ['Phoenix Suns', 0.536, 23.0, 9.0, 0.618], 0]
[['Dallas Mavericks', 0.395, 19.0, 13.0, 0.643], ['Los Angeles Lakers', 0.416, 17.0, 13.0, 0.781], 1]
[['New Jersey Nets', 0.463, 11.0, 12.0, 0.781], ['Washington Wizards', 0.615, 13.0, 8.0, 0.783], 0]
[['Philadelphia 76ers', 0.47, 14.0, 11.0, 0.792], ['New York Knicks', 0.607, 16.0, 10.0, 0.857], 1]
[['Charlotte Bobcats', 0.426, 17.0, 10.0, 0.75], ['Cleveland Cavaliers', 0.581, 17.0, 5.0, 0.643], 0]
[['Portland Trail Blazers', 0.506, 13.0, 12.0, 0.731], ['Houston Rockets', 0.514, 15.0, 12.0, 0.806], 0]
[['Detroit Pistons', 0.41, 14.0, 16.0, 0.727], ['Milwaukee Bucks', 0.437, 20.0, 11.0, 0.76], 0]
[['Sacramento Kings', 0.446, 18.0, 14.0, 0.667], ['San Antonio Spurs', 0.581, 17.0, 7.0, 0.792], 0]
[['Dallas Mavericks', 0.417, 11.0, 9.0, 0.87], ['Los Angeles Clippers', 0.427, 19.0, 8.0, 0.778], 1]
[['Orlando Magic', 0.439, 9.0, 14.0, 0.878], ['Toronto Raptors', 0.541, 14.0, 9.0, 0.743], 1]
[['New Orleans Hornets', 0.42, 16.0, 5.0, 0.75], ['Boston Celtics', 0.539, 15.0, 4.0, 0.643], 0]
[['Chicago Bulls', 0.409, 13.0, 13.0, 0.765], ['Miami Heat', 0.486, 18.0, 8.0, 0.84], 0]
[['Portland Trail Blazers', 0.343, 16.0, 14.0, 0.719], ['Oklahoma City Thunder', 0.406, 14.0, 10.0, 0.76], 1]
[['Memphis Grizzlies', 0.553, 12.0, 9.0, 0.811], ['Denver Nuggets', 0.578, 20.0, 8.0, 0.655], 0]
[['Minnesota Timberwolves', 0.464, 10.0, 16.0, 0.739], ['Phoenix Suns', 0.5, 16.0, 12.0, 0.8], 0]
[['Atlanta Hawks', 0.449, 19.0, 14.0, 0.885], ['Los Angeles Lakers', 0.529, 15.0, 11.0, 0.84], 0]
[['New Jersey Nets', 0.324, 19.0, 19.0, 0.857], ['Charlotte Bobcats', 0.373, 25.0, 8.0, 0.833], 0]
[['New Orleans Hornets', 0.462, 9.0, 12.0, 0.857], ['New York Knicks', 0.488, 11.0, 7.0, 0.895], 0]
