[['Miami Heat', 0.365, 17.0, 11.0, 0.72], ['Boston Celtics', 0.464, 18.0, 8.0, 0.64], 0]
[['Phoenix Suns', 0.462, 12.0, 18.0, 0.667], ['Portland Trail Blazers', 0.486, 19.0, 7.0, 0.688], 0]
[['Houston Rockets', 0.417, 12.0, 14.0, 0.821], ['Los Angeles Lakers', 0.418, 20.0, 16.0, 0.929], 0]
[['Boston Celtics', 0.444, 14.0, 8.0, 0.81], ['Cleveland Cavaliers', 0.472, 19.0, 6.0, 0.762], 0]
[['New York Knicks', 0.383, 11.0, 12.0, 0.75], ['Toronto Raptors', 0.432, 15.0, 13.0, 0.882], 1]
[['Detroit Pistons', 0.446, 6.0, 10.0, 0.533], ['New Jersey Nets', 0.488, 11.0, 9.0, 0.708], 0]
[['Miami Heat', 0.434, 16.0, 10.0, 0.727], ['Philadelphia 76ers', 0.478, 16.0, 5.0, 0.742], 1]
[['Chicago Bulls', 0.41, 12.0, 9.0, 0.809], ['Oklahoma City Thunder', 0.43, 14.0, 15.0, 0.591], 0]
[['Milwaukee Bucks', 0.429, 12.0, 8.0, 0.607], ['New Orleans Hornets', 0.43, 9.0, 6.0, 0.793], 0]
[['Sacramento Kings', 0.459, 13.0, 14.0, 0.745], ['Minnesota Timberwolves', 0.473, 13.0, 11.0, 0.786], 1]
[['Atlanta Hawks', 0.465, 14.0, 9.0, 0.8], ['Memphis Grizzlies', 0.525, 15.0, 9.0, 0.871], 1]
[['Indiana Pacers', 0.506, 14.0, 9.0, 0.806], ['San Antonio Spurs', 0.532, 23.0, 9.0, 0.679], 0]
[['Charlotte Bobcats', 0.397, 20.0, 8.0, 0.958], ['Dallas Mavericks', 0.547, 16.0, 7.0, 0.833], 0]
[['Utah Jazz', 0.386, 22.0, 11.0, 0.721], ['Denver Nuggets', 0.438, 15.0, 12.0, 0.829], 0]
[['Portland Trail Blazers', 0.405, 15.0, 14.0, 0.633], ['Los Angeles Clippers', 0.409, 12.0, 21.0, 0.783], 1]
[['Houston Rockets', 0.471, 9.0, 15.0, 0.808], ['Golden State Warriors', 0.554, 12.0, 14.0, 0.846], 0]
[['Washington Wizards', 0.372, 13.0, 3.0, 0.7], ['Orlando Magic', 0.558, 21.0, 11.0, 0.563], 0]
[['Phoenix Suns', 0.429, 16.0, 14.0, 0.704], ['Utah Jazz', 0.463, 14.0, 12.0, 0.765], 1]
[['Indiana Pacers', 0.443, 17.0, 15.0, 0.778], ['Charlotte Bobcats', 0.45, 10.0, 9.0, 0.833], 1]
[['Cleveland Cavaliers', 0.381, 19.0, 9.0, 0.8], ['Toronto Raptors', 0.476, 19.0, 11.0, 0.944], 0]
[['Atlanta Hawks', 0.412, 8.0, 12.0, 0.788], ['Philadelphia 76ers', 0.514, 20.0, 10.0, 0.839], 1]
[['Sacramento Kings', 0.419, 12.0, 10.0, 0.654], ['New Jersey Nets', 0.525, 26.0, 5.0, 0.8], 0]
[['New York Knicks', 0.435, 10.0, 9.0, 0.667], ['Boston Celtics', 0.484, 17.0, 14.0, 0.667], 0]
[['Denver Nuggets', 0.486, 19.0, 11.0, 0.76], ['New Orleans Hornets', 0.494, 15.0, 11.0, 0.792], 0]
[['Milwaukee Bucks', 0.356, 13.0, 9.0, 0.8], ['Minnesota Timberwolves', 0.376, 18.0, 20.0, 0.722], 0]
[['Orlando Magic', 0.304, 14.0, 8.0, 0.706], ['Miami Heat', 0.407, 12.0, 14.0, 0.778], 0]
[['Oklahoma City Thunder', 0.388, 12.0, 18.0, 0.841], ['Detroit Pistons', 0.471, 18.0, 15.0, 0.8], 1]
[['Memphis Grizzlies', 0.388, 13.0, 14.0, 0.694], ['Dallas Mavericks', 0.472, 18.0, 8.0, 0.667], 1]
[['Los Angeles Clippers', 0.386, 16.0, 14.0, 0.688], ['Golden State Warriors', 0.531, 17.0, 9.0, 0.529], 0]
[['Los Angeles Lakers', 0.473, 10.0, 12.0, 0.692], ['Phoenix Suns', 0.484, 10.0, 13.0, 0.833], 1]
[['Washington Wizards', 0.42, 16.0, 13.0, 0.867], ['Atlanta Hawks', 0.5, 17.0, 8.0, 0.714], 0]
[['Portland Trail Blazers', 0.42, 17.0, 18.0, 0.56], ['New York Knicks', 0.487, 14.0, 9.0, 0.667], 1]
[['Sacramento Kings', 0.488, 13.0, 10.0, 0.69], ['Cleveland Cavaliers', 0.519, 14.0, 11.0, 0.75], 1]
[['Minnesota Timberwolves', 0.348, 28.0, 19.0, 0.656], ['Memphis Grizzlies', 0.462, 17.0, 9.0, 0.833], 0]
[['Philadelphia 76ers', 0.416, 18.0, 16.0, 0.72], ['Indiana Pacers', 0.439, 19.0, 12.0, 0.5], 0]
[['Detroit Pistons', 0.378, 16.0, 12.0, 0.686], ['Chicago Bulls', 0.43, 15.0, 14.0, 0.71], 0]
[['Denver Nuggets', 0.378, 12.0, 13.0, 0.879], ['Houston Rockets', 0.457, 19.0, 9.0, 0.81], 1]
[['Charlotte Bobcats', 0.451, 18.0, 14.0, 0.852], ['Milwaukee Bucks', 0.469, 18.0, 5.0, 0.826], 0]
[['New Orleans Hornets', 0.388, 13.0, 11.0, 0.857], ['San Antonio Spurs', 0.5, 14.0, 3.0, 0.824], 1]
[['Miami Heat', 0.353, 15.0, 19.0, 0.652], ['New Jersey Nets', 0.537, 8.0, 5.0, 0.706], 1]
[['Dallas Mavericks', 0.341, 16.0, 15.0, 0.742], ['Los Angeles Clippers', 0.468, 14.0, 8.0, 0.69], 1]
[['Utah Jazz', 0.4, 14.0, 7.0, 0.882], ['Oklahoma City Thunder', 0.53, 15.0, 8.0, 0.833], 1]
[['Golden State Warriors', 0.404, 17.0, 15.0, 0.462], ['Los Angeles Lakers', 0.443, 20.0, 18.0, 0.767], 0]
[['Portland Trail Blazers', 0.413, 10.0, 16.0, 0.78], ['Chicago Bulls', 0.606, 15.0, 9.0, 0.594], 0]
[['Toronto Raptors', 0.459, 14.0, 17.0, 0.724], ['Sacramento Kings', 0.477, 11.0, 16.0, 0.815], 0]
[['San Antonio Spurs', 0.463, 17.0, 10.0, 0.5], ['Los Angeles Clippers', 0.481, 18.0, 7.0, 0.8], 1]
[['Atlanta Hawks', 0.432, 14.0, 10.0, 0.731], ['Cleveland Cavaliers', 0.44, 7.0, 14.0, 0.7], 1]
[['Philadelphia 76ers', 0.474, 21.0, 9.0, 0.837], ['Washington Wizards', 0.55, 22.0, 7.0, 0.793], 0]
[['Boston Celtics', 0.449, 17.0, 11.0, 0.7], ['Detroit Pistons', 0.519, 8.0, 10.0, 1.0], 1]
[['Minnesota Timberwolves', 0.369, 18.0, 13.0, 0.763], ['Miami Heat', 0.582, 14.0, 8.0, 0.806], 0]
[['Portland Trail Blazers', 0.375, 17.0, 11.0, 0.76], ['Milwaukee Bucks', 0.475, 12.0, 10.0, 0.778], 1]
[['Memphis Grizzlies', 0.413, 12.0, 15.0, 0.759], ['Los Angeles Lakers', 0.512, 19.0, 20.0, 0.8], 0]
[['Detroit Pistons', 0.4, 8.0, 17.0, 0.667], ['Atlanta Hawks', 0.537, 13.0, 3.0, 0.826], 0]
[['Charlotte Bobcats', 0.427, 16.0, 8.0, 0.933], ['New Jersey Nets', 0.431, 16.0, 11.0, 0.783], 1]
[['Minnesota Timberwolves', 0.333, 18.0, 13.0, 0.857], ['Orlando Magic', 0.5, 13.0, 17.0, 0.656], 0]
[['Indiana Pacers', 0.315, 13.0, 11.0, 0.706], ['Philadelphia 76ers', 0.469, 10.0, 9.0, 0.84], 0]
[['Milwaukee Bucks', 0.419, 15.0, 13.0, 0.806], ['Boston Celtics', 0.468, 16.0, 10.0, 0.844], 0]
[['New Orleans Hornets', 0.419, 12.0, 11.0, 0.722], ['Houston Rockets', 0.456, 8.0, 12.0, 0.714], 1]
[['Dallas Mavericks', 0.461, 11.0, 13.0, 0.75], ['Denver Nuggets', 0.464, 13.0, 12.0, 0.895], 1]
[['Toronto Raptors', 0.456, 16.0, 10.0, 0.786], ['Utah Jazz', 0.565, 14.0, 7.0, 0.88], 0]
[['San Antonio Spurs', 0.446, 13.0, 16.0, 0.87], ['Phoenix Suns', 0.545, 23.0, 11.0, 0.688], 1]
[['Memphis Grizzlies', 0.413, 19.0, 19.0, 0.765], ['Golden State Warriors', 0.512, 19.0, 9.0, 0.68], 0]
[['Oklahoma City Thunder', 0.378, 12.0, 16.0, 0.87], ['Los Angeles Clippers', 0.525, 12.0, 7.0, 0.556], 0]
[['Los Angeles Lakers', 0.44, 8.0, 12.0, 0.609], ['Sacramento Kings', 0.464, 6.0, 7.0, 0.821], 1]
[['New York Knicks', 0.5, 17.0, 10.0, 0.828], ['Chicago Bulls', 0.519, 20.0, 12.0, 0.704], 1]
[['Oklahoma City Thunder', 0.467, 10.0, 15.0, 0.8], ['Portland Trail Blazers', 0.494, 16.0, 15.0, 0.923], 1]
[['Milwaukee Bucks', 0.386, 15.0, 9.0, 0.733], ['Indiana Pacers', 0.387, 19.0, 4.0, 0.867], 1]
[['New Jersey Nets', 0.429, 10.0, 7.0, 0.889], ['Orlando Magic', 0.479, 17.0, 13.0, 0.813], 0]
[['Cleveland Cavaliers', 0.547, 17.0, 13.0, 0.792], ['Philadelphia 76ers', 0.554, 14.0, 10.0, 0.72], 1]
[['Charlotte Bobcats', 0.427, 12.0, 9.0, 0.963], ['Detroit Pistons', 0.552, 22.0, 8.0, 0.636], 0]
[['Washington Wizards', 0.453, 23.0, 9.0, 0.864], ['New York Knicks', 0.506, 18.0, 13.0, 0.667], 0]
[['Chicago Bulls', 0.494, 19.0, 7.0, 0.944], ['Boston Celtics', 0.512, 14.0, 3.0, 0.88], 0]
[['Atlanta Hawks', 0.424, 11.0, 16.0, 0.917], ['Minnesota Timberwolves', 0.543, 15.0, 8.0, 0.808], 1]
[['Miami Heat', 0.423, 13.0, 8.0, 0.917], ['New Orleans Hornets', 0.494, 13.0, 10.0, 0.824], 0]
[['Memphis Grizzlies', 0.426, 28.0, 21.0, 0.719], ['Phoenix Suns', 0.469, 26.0, 16.0, 0.647], 0]
[['Los Angeles Clippers', 0.5, 10.0, 11.0, 0.64], ['Denver Nuggets', 0.518, 9.0, 8.0, 0.909], 0]
[['Utah Jazz', 0.376, 16.0, 21.0, 0.591], ['Golden State Warriors', 0.395, 19.0, 10.0, 0.714], 0]
[['Toronto Raptors', 0.471, 21.0, 19.0, 0.842], ['Los Angeles Lakers', 0.481, 12.0, 7.0, 0.844], 0]
[['Orlando Magic', 0.415, 7.0, 7.0, 0.619], ['Charlotte Bobcats', 0.48, 16.0, 3.0, 0.909], 1]
[['Cleveland Cavaliers', 0.443, 14.0, 11.0, 0.8], ['Washington Wizards', 0.476, 12.0, 5.0, 0.808], 1]
[['New Jersey Nets', 0.412, 13.0, 11.0, 0.647], ['Miami Heat', 0.486, 12.0, 6.0, 0.793], 0]
[['New Orleans Hornets', 0.386, 10.0, 11.0, 0.65], ['Milwaukee Bucks', 0.449, 19.0, 10.0, 0.818], 1]
[['Houston Rockets', 0.475, 16.0, 14.0, 0.857], ['San Antonio Spurs', 0.485, 11.0, 13.0, 0.68], 0]
[['Denver Nuggets', 0.447, 21.0, 11.0, 0.769], ['Dallas Mavericks', 0.451, 12.0, 9.0, 0.762], 1]
[['Los Angeles Clippers', 0.412, 10.0, 17.0, 0.742], ['Utah Jazz', 0.43, 22.0, 14.0, 0.875], 0]
[['Toronto Raptors', 0.368, 17.0, 17.0, 0.794], ['Portland Trail Blazers', 0.453, 18.0, 14.0, 0.893], 0]
[['Memphis Grizzlies', 0.43, 20.0, 15.0, 0.75], ['Sacramento Kings', 0.482, 15.0, 13.0, 0.739], 1]
[['Philadelphia 76ers', 0.4, 16.0, 14.0, 0.714], ['New York Knicks', 0.474, 16.0, 8.0, 0.714], 1]
[['Phoenix Suns', 0.542, 14.0, 13.0, 0.773], ['Atlanta Hawks', 0.556, 14.0, 11.0, 0.773], 1]
