[['Orlando Magic', 0.387, 17.0, 13.0, 0.6], ['Indiana Pacers', 0.479, 20.0, 10.0, 0.688], 0]
[['Chicago Bulls', 0.422, 18.0, 11.0, 0.783], ['Miami Heat', 0.514, 18.0, 5.0, 0.759], 0]
[['Los Angeles Clippers', 0.452, 19.0, 18.0, 0.643], ['Los Angeles Lakers', 0.494, 16.0, 10.0, 0.565], 0]
[['Brooklyn Nets', 0.402, 15.0, 9.0, 0.792], ['Cleveland Cavaliers', 0.417, 11.0, 16.0, 0.676], 0]
[['Boston Celtics', 0.442, 17.0, 19.0, 0.522], ['Toronto Raptors', 0.485, 22.0, 7.0, 0.69], 0]
[['Miami Heat', 0.494, 19.0, 7.0, 0.769], ['Philadelphia 76ers', 0.538, 18.0, 8.0, 0.833], 0]
[['Washington Wizards', 0.436, 16.0, 13.0, 0.75], ['Detroit Pistons', 0.5, 18.0, 12.0, 0.788], 0]
[['Milwaukee Bucks', 0.459, 23.0, 5.0, 0.833], ['New York Knicks', 0.507, 22.0, 6.0, 0.882], 0]
[['Indiana Pacers', 0.4, 15.0, 15.0, 0.81], ['New Orleans Pelicans', 0.429, 16.0, 6.0, 0.833], 1]
[['Orlando Magic', 0.42, 14.0, 14.0, 0.824], ['Minnesota Timberwolves', 0.47, 18.0, 14.0, 0.611], 0]
[['Charlotte Bobcats', 0.367, 7.0, 12.0, 0.65], ['Houston Rockets', 0.474, 18.0, 14.0, 0.625], 0]
[['Atlanta Hawks', 0.487, 17.0, 5.0, 0.771], ['Dallas Mavericks', 0.571, 20.0, 7.0, 0.792], 0]
[['Memphis Grizzlies', 0.419, 14.0, 11.0, 0.533], ['San Antonio Spurs', 0.526, 15.0, 4.0, 0.625], 0]
[['Oklahoma City Thunder', 0.407, 13.0, 10.0, 0.879], ['Utah Jazz', 0.456, 22.0, 10.0, 0.667], 1]
[['Denver Nuggets', 0.407, 14.0, 11.0, 0.696], ['Sacramento Kings', 0.43, 18.0, 8.0, 0.882], 0]
[['Portland Trail Blazers', 0.407, 13.0, 11.0, 0.708], ['Phoenix Suns', 0.518, 15.0, 11.0, 0.778], 0]
[['Los Angeles Lakers', 0.393, 16.0, 9.0, 0.762], ['Golden State Warriors', 0.535, 15.0, 7.0, 0.783], 0]
[['New York Knicks', 0.36, 15.0, 13.0, 0.714], ['Chicago Bulls', 0.408, 18.0, 13.0, 0.895], 0]
[['Golden State Warriors', 0.494, 18.0, 16.0, 0.66], ['Los Angeles Clippers', 0.526, 24.0, 10.0, 0.697], 0]
[['Cleveland Cavaliers', 0.381, 17.0, 11.0, 0.727], ['Charlotte Bobcats', 0.452, 15.0, 5.0, 0.618], 0]
[['New Orleans Pelicans', 0.348, 12.0, 17.0, 0.769], ['Orlando Magic', 0.557, 18.0, 5.0, 0.778], 0]
[['Philadelphia 76ers', 0.436, 17.0, 15.0, 0.647], ['Washington Wizards', 0.511, 19.0, 9.0, 0.5], 1]
[['Toronto Raptors', 0.455, 12.0, 10.0, 0.571], ['Atlanta Hawks', 0.468, 13.0, 7.0, 0.645], 0]
[['Milwaukee Bucks', 0.417, 7.0, 17.0, 0.853], ['Boston Celtics', 0.447, 17.0, 18.0, 0.684], 1]
[['Miami Heat', 0.478, 15.0, 4.0, 0.806], ['Brooklyn Nets', 0.485, 18.0, 7.0, 0.692], 0]
[['Dallas Mavericks', 0.38, 14.0, 16.0, 0.8], ['Houston Rockets', 0.466, 22.0, 13.0, 0.667], 0]
[['Detroit Pistons', 0.472, 19.0, 15.0, 0.708], ['Memphis Grizzlies', 0.519, 20.0, 6.0, 0.833], 0]
[['Oklahoma City Thunder', 0.349, 21.0, 14.0, 0.842], ['Minnesota Timberwolves', 0.429, 15.0, 9.0, 0.788], 0]
[['Portland Trail Blazers', 0.364, 4.0, 20.0, 0.588], ['Denver Nuggets', 0.427, 7.0, 16.0, 0.733], 1]
[['Utah Jazz', 0.365, 20.0, 22.0, 0.63], ['Phoenix Suns', 0.373, 16.0, 16.0, 0.792], 0]
[['Los Angeles Clippers', 0.456, 9.0, 10.0, 0.719], ['Sacramento Kings', 0.5, 15.0, 10.0, 0.824], 1]
[['San Antonio Spurs', 0.366, 12.0, 8.0, 0.708], ['Los Angeles Lakers', 0.404, 12.0, 12.0, 0.714], 1]
[['Cleveland Cavaliers', 0.349, 16.0, 6.0, 0.867], ['Indiana Pacers', 0.416, 20.0, 10.0, 0.75], 0]
[['Chicago Bulls', 0.452, 18.0, 17.0, 0.895], ['Philadelphia 76ers', 0.488, 15.0, 10.0, 0.667], 0]
[['Charlotte Bobcats', 0.375, 13.0, 14.0, 0.583], ['New Orleans Pelicans', 0.493, 17.0, 8.0, 0.857], 0]
[['Memphis Grizzlies', 0.4, 11.0, 14.0, 0.87], ['Dallas Mavericks', 0.425, 17.0, 17.0, 0.846], 0]
[['Toronto Raptors', 0.397, 17.0, 18.0, 0.737], ['Milwaukee Bucks', 0.44, 13.0, 6.0, 0.556], 1]
[['Houston Rockets', 0.42, 15.0, 15.0, 0.778], ['Utah Jazz', 0.507, 18.0, 9.0, 0.771], 1]
[['San Antonio Spurs', 0.5, 12.0, 12.0, 0.625], ['Portland Trail Blazers', 0.556, 16.0, 7.0, 0.895], 0]
[['Sacramento Kings', 0.345, 14.0, 16.0, 0.875], ['Golden State Warriors', 0.513, 18.0, 5.0, 0.75], 0]
[['Boston Celtics', 0.419, 23.0, 8.0, 1.0], ['Detroit Pistons', 0.447, 21.0, 15.0, 0.586], 0]
[['Washington Wizards', 0.427, 20.0, 17.0, 0.688], ['Miami Heat', 0.529, 16.0, 8.0, 0.667], 0]
[['Brooklyn Nets', 0.382, 12.0, 11.0, 0.933], ['Orlando Magic', 0.472, 15.0, 13.0, 0.727], 0]
[['Phoenix Suns', 0.4, 23.0, 12.0, 0.818], ['Oklahoma City Thunder', 0.427, 15.0, 10.0, 0.838], 0]
[['Minnesota Timberwolves', 0.443, 12.0, 10.0, 0.763], ['New York Knicks', 0.449, 16.0, 14.0, 0.846], 1]
[['Atlanta Hawks', 0.427, 13.0, 6.0, 0.833], ['Los Angeles Lakers', 0.444, 11.0, 10.0, 0.538], 0]
[['Minnesota Timberwolves', 0.362, 17.0, 12.0, 0.792], ['Cleveland Cavaliers', 0.459, 23.0, 11.0, 0.909], 0]
[['Golden State Warriors', 0.352, 24.0, 14.0, 0.622], ['Philadelphia 76ers', 0.446, 22.0, 13.0, 0.65], 1]
[['Boston Celtics', 0.471, 17.0, 4.0, 0.833], ['Memphis Grizzlies', 0.486, 18.0, 9.0, 0.818], 0]
[['Houston Rockets', 0.5, 15.0, 13.0, 0.674], ['Los Angeles Clippers', 0.521, 10.0, 9.0, 0.857], 0]
[['Miami Heat', 0.431, 15.0, 13.0, 0.818], ['Toronto Raptors', 0.494, 11.0, 10.0, 0.857], 1]
[['Utah Jazz', 0.378, 20.0, 19.0, 0.733], ['Brooklyn Nets', 0.513, 15.0, 11.0, 0.625], 0]
[['Indiana Pacers', 0.379, 14.0, 13.0, 0.8], ['Detroit Pistons', 0.521, 18.0, 4.0, 0.609], 1]
[['Charlotte Bobcats', 0.423, 22.0, 16.0, 0.81], ['New York Knicks', 0.427, 14.0, 11.0, 0.826], 1]
[['Phoenix Suns', 0.435, 13.0, 8.0, 0.737], ['New Orleans Pelicans', 0.5, 15.0, 7.0, 0.636], 1]
[['Los Angeles Lakers', 0.443, 14.0, 9.0, 0.7], ['Dallas Mavericks', 0.521, 12.0, 10.0, 0.857], 0]
[['San Antonio Spurs', 0.422, 22.0, 10.0, 0.75], ['Denver Nuggets', 0.465, 16.0, 8.0, 0.9], 1]
[['Houston Rockets', 0.414, 14.0, 11.0, 0.655], ['Portland Trail Blazers', 0.547, 20.0, 10.0, 0.824], 1]
[['Atlanta Hawks', 0.438, 18.0, 10.0, 0.952], ['Sacramento Kings', 0.481, 14.0, 9.0, 0.731], 1]
[['Toronto Raptors', 0.443, 12.0, 11.0, 0.867], ['Charlotte Bobcats', 0.493, 8.0, 10.0, 0.567], 0]
[['Chicago Bulls', 0.356, 17.0, 11.0, 0.852], ['Indiana Pacers', 0.419, 14.0, 17.0, 0.857], 0]
[['Los Angeles Clippers', 0.379, 13.0, 15.0, 0.714], ['Orlando Magic', 0.488, 15.0, 7.0, 0.765], 0]
[['Washington Wizards', 0.439, 11.0, 10.0, 0.75], ['Philadelphia 76ers', 0.47, 20.0, 11.0, 0.692], 1]
[['Utah Jazz', 0.449, 14.0, 10.0, 0.714], ['Boston Celtics', 0.463, 20.0, 11.0, 0.667], 0]
[['New Orleans Pelicans', 0.479, 18.0, 7.0, 0.857], ['Memphis Grizzlies', 0.487, 13.0, 13.0, 0.905], 1]
[['Cleveland Cavaliers', 0.447, 9.0, 12.0, 0.727], ['Milwaukee Bucks', 0.5, 14.0, 9.0, 0.923], 0]
[['Golden State Warriors', 0.378, 19.0, 10.0, 0.778], ['Minnesota Timberwolves', 0.5, 21.0, 9.0, 0.7], 1]
[['Phoenix Suns', 0.482, 14.0, 6.0, 0.733], ['San Antonio Spurs', 0.494, 18.0, 5.0, 0.556], 0]
[['Dallas Mavericks', 0.424, 21.0, 11.0, 0.857], ['Oklahoma City Thunder', 0.544, 23.0, 10.0, 0.696], 0]
[['Los Angeles Clippers', 0.493, 17.0, 9.0, 0.81], ['Miami Heat', 0.535, 16.0, 8.0, 0.636], 0]
[['Atlanta Hawks', 0.457, 11.0, 13.0, 0.684], ['Denver Nuggets', 0.488, 16.0, 10.0, 0.647], 0]
[['Los Angeles Lakers', 0.377, 17.0, 8.0, 0.635], ['Houston Rockets', 0.391, 24.0, 13.0, 0.733], 1]
[['New York Knicks', 0.408, 14.0, 10.0, 0.833], ['Charlotte Bobcats', 0.467, 12.0, 12.0, 0.556], 1]
[['Toronto Raptors', 0.395, 15.0, 15.0, 0.875], ['Indiana Pacers', 0.462, 15.0, 9.0, 0.813], 0]
[['Boston Celtics', 0.358, 11.0, 19.0, 0.808], ['Orlando Magic', 0.398, 20.0, 16.0, 0.655], 1]
[['Cleveland Cavaliers', 0.333, 13.0, 18.0, 0.714], ['Philadelphia 76ers', 0.476, 17.0, 12.0, 0.778], 0]
[['Brooklyn Nets', 0.466, 16.0, 7.0, 0.769], ['Washington Wizards', 0.466, 21.0, 11.0, 0.69], 0]
[['Oklahoma City Thunder', 0.429, 13.0, 16.0, 0.778], ['Detroit Pistons', 0.451, 13.0, 17.0, 0.886], 1]
[['Utah Jazz', 0.294, 17.0, 17.0, 0.64], ['Chicago Bulls', 0.528, 20.0, 11.0, 0.72], 0]
[['Dallas Mavericks', 0.461, 14.0, 16.0, 0.867], ['Minnesota Timberwolves', 0.489, 17.0, 14.0, 0.667], 0]
[['Los Angeles Lakers', 0.388, 14.0, 12.0, 0.654], ['New Orleans Pelicans', 0.437, 8.0, 11.0, 0.773], 0]
[['Golden State Warriors', 0.392, 12.0, 11.0, 0.5], ['San Antonio Spurs', 0.408, 19.0, 6.0, 0.8], 0]
[['Denver Nuggets', 0.45, 20.0, 7.0, 0.821], ['Phoenix Suns', 0.482, 20.0, 11.0, 0.781], 0]
[['Sacramento Kings', 0.419, 11.0, 8.0, 0.867], ['Portland Trail Blazers', 0.488, 17.0, 11.0, 0.889], 0]
[['Utah Jazz', 0.442, 14.0, 12.0, 0.833], ['Toronto Raptors', 0.482, 12.0, 13.0, 0.862], 0]
[['Orlando Magic', 0.463, 17.0, 9.0, 0.556], ['Atlanta Hawks', 0.478, 12.0, 7.0, 0.706], 0]
[['Indiana Pacers', 0.461, 15.0, 7.0, 0.813], ['Brooklyn Nets', 0.463, 13.0, 11.0, 0.75], 1]
[['Philadelphia 76ers', 0.451, 18.0, 14.0, 0.759], ['Cleveland Cavaliers', 0.475, 19.0, 9.0, 0.87], 0]
[['Boston Celtics', 0.517, 12.0, 11.0, 0.75], ['Miami Heat', 0.577, 10.0, 4.0, 0.676], 1]
[['Los Angeles Clippers', 0.449, 18.0, 10.0, 0.63], ['Houston Rockets', 0.477, 13.0, 15.0, 0.609], 1]
[['Golden State Warriors', 0.423, 17.0, 9.0, 0.538], ['Memphis Grizzlies', 0.532, 16.0, 8.0, 0.76], 0]
[['Dallas Mavericks', 0.383, 20.0, 11.0, 0.625], ['Milwaukee Bucks', 0.423, 19.0, 12.0, 0.905], 1]
[['Portland Trail Blazers', 0.439, 12.0, 19.0, 0.682], ['Sacramento Kings', 0.462, 10.0, 8.0, 0.714], 1]
[['Washington Wizards', 0.446, 17.0, 16.0, 0.818], ['Oklahoma City Thunder', 0.455, 12.0, 7.0, 0.5], 0]
[['New Orleans Pelicans', 0.443, 15.0, 14.0, 0.923], ['Phoenix Suns', 0.487, 14.0, 10.0, 0.783], 0]
[['Minnesota Timberwolves', 0.38, 18.0, 16.0, 0.556], ['Los Angeles Lakers', 0.489, 21.0, 12.0, 0.789], 1]
[['San Antonio Spurs', 0.378, 10.0, 9.0, 0.724], ['New York Knicks', 0.539, 13.0, 9.0, 0.867], 1]
[['Atlanta Hawks', 0.407, 14.0, 10.0, 0.793], ['Charlotte Bobcats', 0.461, 13.0, 6.0, 0.821], 1]
[['Memphis Grizzlies', 0.413, 10.0, 7.0, 0.684], ['Indiana Pacers', 0.487, 13.0, 9.0, 0.833], 0]
[['San Antonio Spurs', 0.415, 15.0, 11.0, 0.75], ['Philadelphia 76ers', 0.494, 12.0, 11.0, 0.727], 1]
[['Orlando Magic', 0.459, 18.0, 14.0, 0.87], ['Boston Celtics', 0.6, 13.0, 8.0, 0.867], 0]
[['Cleveland Cavaliers', 0.41, 11.0, 14.0, 0.923], ['Chicago Bulls', 0.413, 18.0, 11.0, 0.7], 0]
[['Toronto Raptors', 0.333, 13.0, 20.0, 0.741], ['Houston Rockets', 0.44, 23.0, 13.0, 0.617], 0]
[['Denver Nuggets', 0.403, 14.0, 9.0, 0.696], ['Utah Jazz', 0.45, 14.0, 13.0, 0.852], 1]
[['Detroit Pistons', 0.462, 8.0, 18.0, 0.762], ['Portland Trail Blazers', 0.512, 15.0, 13.0, 0.933], 0]
[['Minnesota Timberwolves', 0.417, 12.0, 16.0, 0.889], ['Los Angeles Clippers', 0.55, 14.0, 6.0, 0.607], 0]
[['Milwaukee Bucks', 0.418, 18.0, 8.0, 0.857], ['Miami Heat', 0.582, 13.0, 5.0, 0.583], 0]
[['Washington Wizards', 0.44, 19.0, 11.0, 0.69], ['Dallas Mavericks', 0.488, 15.0, 11.0, 0.684], 0]
[['Detroit Pistons', 0.425, 12.0, 16.0, 0.667], ['Golden State Warriors', 0.6, 23.0, 10.0, 0.808], 0]
[['New Orleans Pelicans', 0.405, 13.0, 9.0, 0.727], ['Los Angeles Lakers', 0.557, 19.0, 9.0, 0.81], 0]
[['Milwaukee Bucks', 0.427, 15.0, 13.0, 0.714], ['Orlando Magic', 0.446, 18.0, 7.0, 0.909], 0]
[['Houston Rockets', 0.417, 13.0, 15.0, 0.765], ['Philadelphia 76ers', 0.448, 19.0, 13.0, 0.64], 0]
[['Charlotte Bobcats', 0.366, 11.0, 12.0, 0.867], ['Boston Celtics', 0.377, 15.0, 10.0, 0.72], 1]
[['New York Knicks', 0.42, 3.0, 8.0, 0.692], ['Atlanta Hawks', 0.455, 15.0, 8.0, 0.762], 1]
[['Toronto Raptors', 0.427, 17.0, 11.0, 0.647], ['Memphis Grizzlies', 0.463, 13.0, 9.0, 0.846], 1]
[['Cleveland Cavaliers', 0.414, 11.0, 10.0, 0.857], ['Minnesota Timberwolves', 0.549, 9.0, 8.0, 0.885], 0]
[['Washington Wizards', 0.363, 9.0, 12.0, 0.727], ['San Antonio Spurs', 0.506, 17.0, 5.0, 0.75], 0]
[['Los Angeles Lakers', 0.394, 14.0, 19.0, 0.654], ['Denver Nuggets', 0.4, 8.0, 23.0, 0.676], 0]
[['New Orleans Pelicans', 0.494, 13.0, 11.0, 0.8], ['Utah Jazz', 0.514, 21.0, 14.0, 0.718], 0]
[['Phoenix Suns', 0.417, 16.0, 14.0, 0.609], ['Portland Trail Blazers', 0.43, 14.0, 10.0, 0.769], 0]
[['Brooklyn Nets', 0.378, 15.0, 10.0, 0.778], ['Sacramento Kings', 0.436, 6.0, 12.0, 0.739], 0]
[['Oklahoma City Thunder', 0.453, 22.0, 18.0, 0.794], ['Los Angeles Clippers', 0.467, 22.0, 8.0, 0.818], 0]
[['Houston Rockets', 0.437, 9.0, 10.0, 0.815], ['New York Knicks', 0.456, 14.0, 11.0, 0.864], 1]
[['Oklahoma City Thunder', 0.479, 7.0, 9.0, 0.857], ['Golden State Warriors', 0.513, 19.0, 13.0, 0.857], 0]
[['Milwaukee Bucks', 0.341, 15.0, 17.0, 0.818], ['Indiana Pacers', 0.506, 13.0, 9.0, 0.905], 0]
[['Chicago Bulls', 0.354, 16.0, 11.0, 0.773], ['Toronto Raptors', 0.45, 15.0, 11.0, 0.895], 1]
[['Philadelphia 76ers', 0.465, 16.0, 9.0, 0.783], ['Atlanta Hawks', 0.481, 15.0, 6.0, 0.806], 0]
[['Portland Trail Blazers', 0.457, 15.0, 4.0, 0.789], ['Boston Celtics', 0.488, 18.0, 8.0, 0.909], 1]
[['Charlotte Bobcats', 0.4, 16.0, 12.0, 0.7], ['Cleveland Cavaliers', 0.405, 15.0, 10.0, 0.706], 1]
[['Dallas Mavericks', 0.5, 24.0, 6.0, 0.857], ['Miami Heat', 0.541, 16.0, 4.0, 0.833], 0]
[['Minnesota Timberwolves', 0.485, 15.0, 14.0, 0.762], ['Denver Nuggets', 0.489, 16.0, 11.0, 0.789], 0]
[['Brooklyn Nets', 0.43, 16.0, 9.0, 0.8], ['Phoenix Suns', 0.437, 12.0, 14.0, 0.759], 1]
[['San Antonio Spurs', 0.385, 18.0, 16.0, 0.636], ['Utah Jazz', 0.461, 17.0, 7.0, 0.773], 1]
[['Memphis Grizzlies', 0.435, 9.0, 10.0, 1.0], ['Los Angeles Lakers', 0.438, 11.0, 4.0, 0.545], 1]
[['Detroit Pistons', 0.425, 17.0, 11.0, 0.706], ['Sacramento Kings', 0.447, 12.0, 13.0, 0.625], 1]
[['Miami Heat', 0.349, 8.0, 10.0, 0.75], ['Charlotte Bobcats', 0.507, 15.0, 6.0, 0.913], 1]
[['Dallas Mavericks', 0.512, 8.0, 5.0, 0.667], ['Orlando Magic', 0.529, 17.0, 5.0, 0.786], 1]
[['Cleveland Cavaliers', 0.398, 18.0, 13.0, 0.727], ['Washington Wizards', 0.444, 20.0, 7.0, 0.955], 1]
[['Atlanta Hawks', 0.378, 14.0, 19.0, 0.75], ['New York Knicks', 0.564, 13.0, 5.0, 0.765], 1]
[['Indiana Pacers', 0.4, 9.0, 12.0, 0.786], ['Chicago Bulls', 0.506, 13.0, 9.0, 0.792], 0]
[['Denver Nuggets', 0.455, 13.0, 18.0, 0.722], ['Houston Rockets', 0.506, 16.0, 12.0, 0.705], 0]
[['Boston Celtics', 0.395, 21.0, 15.0, 0.833], ['Minnesota Timberwolves', 0.426, 13.0, 16.0, 0.864], 0]
[['Philadelphia 76ers', 0.422, 17.0, 10.0, 0.71], ['New Orleans Pelicans', 0.605, 13.0, 10.0, 0.667], 0]
[['Oklahoma City Thunder', 0.349, 16.0, 14.0, 0.733], ['Milwaukee Bucks', 0.415, 11.0, 12.0, 0.704], 1]
[['Utah Jazz', 0.455, 17.0, 7.0, 0.625], ['Golden State Warriors', 0.513, 15.0, 10.0, 0.786], 0]
[['Brooklyn Nets', 0.424, 11.0, 16.0, 0.667], ['Los Angeles Clippers', 0.519, 17.0, 13.0, 0.667], 0]
[['Portland Trail Blazers', 0.444, 15.0, 15.0, 0.75], ['Toronto Raptors', 0.447, 16.0, 15.0, 0.742], 1]
[['Memphis Grizzlies', 0.379, 8.0, 11.0, 0.765], ['Sacramento Kings', 0.556, 16.0, 7.0, 0.722], 1]
