[['Orlando Magic', 0.381, 18.0, 16.0, 0.762], ['New Orleans Pelicans', 0.406, 9.0, 26.0, 0.484], 0]
[['Dallas Mavericks', 0.487, 10.0, 9.0, 0.842], ['San Antonio Spurs', 0.529, 20.0, 9.0, 0.813], 0]
[['Houston Rockets', 0.354, 11.0, 11.0, 0.795], ['Los Angeles Lakers', 0.425, 13.0, 14.0, 0.68], 1]
[['Milwaukee Bucks', 0.406, 10.0, 15.0, 0.69], ['Charlotte Hornets', 0.488, 14.0, 3.0, 0.875], 0]
[['Philadelphia 76ers', 0.382, 11.0, 15.0, 0.567], ['Indiana Pacers', 0.469, 17.0, 14.0, 0.679], 0]
[['Atlanta Hawks', 0.411, 9.0, 16.0, 0.818], ['Toronto Raptors', 0.5, 17.0, 10.0, 0.529], 0]
[['Washington Wizards', 0.48, 14.0, 7.0, 0.708], ['Miami Heat', 0.481, 14.0, 12.0, 0.87], 0]
[['Brooklyn Nets', 0.488, 20.0, 9.0, 0.769], ['Boston Celtics', 0.557, 12.0, 9.0, 0.652], 0]
[['Minnesota Timberwolves', 0.453, 23.0, 19.0, 0.739], ['Memphis Grizzlies', 0.524, 17.0, 10.0, 0.75], 0]
[['Chicago Bulls', 0.365, 11.0, 14.0, 0.882], ['New York Knicks', 0.507, 15.0, 10.0, 0.833], 1]
[['Detroit Pistons', 0.353, 15.0, 14.0, 0.742], ['Denver Nuggets', 0.369, 15.0, 8.0, 0.579], 0]
[['Houston Rockets', 0.469, 13.0, 13.0, 0.824], ['Utah Jazz', 0.519, 18.0, 8.0, 0.714], 1]
[['Golden State Warriors', 0.308, 26.0, 15.0, 0.743], ['Sacramento Kings', 0.44, 22.0, 7.0, 0.719], 1]
[['Los Angeles Lakers', 0.43, 13.0, 12.0, 0.84], ['Phoenix Suns', 0.549, 14.0, 9.0, 0.722], 0]
[['Oklahoma City Thunder', 0.407, 13.0, 14.0, 0.808], ['Portland Trail Blazers', 0.448, 10.0, 13.0, 0.773], 0]
[['Washington Wizards', 0.488, 12.0, 6.0, 0.769], ['Orlando Magic', 0.514, 18.0, 3.0, 0.75], 1]
[['New York Knicks', 0.457, 19.0, 11.0, 0.85], ['Cleveland Cavaliers', 0.536, 15.0, 9.0, 0.833], 1]
[['Detroit Pistons', 0.418, 12.0, 14.0, 0.615], ['Minnesota Timberwolves', 0.487, 12.0, 10.0, 0.679], 0]
[['Utah Jazz', 0.434, 16.0, 15.0, 0.889], ['Dallas Mavericks', 0.553, 9.0, 13.0, 0.783], 0]
[['Oklahoma City Thunder', 0.391, 11.0, 14.0, 0.72], ['Los Angeles Clippers', 0.431, 22.0, 8.0, 0.824], 0]
[['Memphis Grizzlies', 0.443, 9.0, 11.0, 0.741], ['Indiana Pacers', 0.459, 18.0, 11.0, 0.813], 1]
[['Cleveland Cavaliers', 0.394, 9.0, 20.0, 0.879], ['Chicago Bulls', 0.456, 19.0, 11.0, 0.765], 1]
