[['Detroit Pistons', 0.385, 15.0, 23.0, 0.769], ['Atlanta Hawks', 0.451, 15.0, 7.0, 0.8], 1]
[['Cleveland Cavaliers', 0.404, 10.0, 11.0, 0.588], ['Chicago Bulls', 0.425, 13.0, 7.0, 0.696], 0]
[['New Orleans Pelicans', 0.422, 18.0, 8.0, 0.704], ['Golden State Warriors', 0.427, 20.0, 21.0, 0.909], 0]
[['Washington Wizards', 0.37, 14.0, 17.0, 0.667], ['Orlando Magic', 0.393, 17.0, 15.0, 0.6], 1]
[['Indiana Pacers', 0.372, 13.0, 8.0, 0.839], ['Toronto Raptors', 0.45, 20.0, 9.0, 0.692], 0]
[['Charlotte Hornets', 0.393, 8.0, 11.0, 0.759], ['Miami Heat', 0.493, 13.0, 2.0, 0.952], 0]
[['Chicago Bulls', 0.419, 13.0, 16.0, 0.786], ['Brooklyn Nets', 0.538, 19.0, 5.0, 0.85], 1]
[['Philadelphia 76ers', 0.41, 22.0, 14.0, 0.87], ['Boston Celtics', 0.459, 17.0, 10.0, 0.963], 0]
[['Utah Jazz', 0.405, 10.0, 8.0, 0.735], ['Detroit Pistons', 0.467, 12.0, 4.0, 0.714], 0]
[['Denver Nuggets', 0.345, 16.0, 15.0, 0.654], ['Houston Rockets', 0.506, 21.0, 9.0, 0.667], 1]
[['San Antonio Spurs', 0.484, 13.0, 7.0, 0.846], ['Oklahoma City Thunder', 0.488, 19.0, 11.0, 0.955], 0]
[['New York Knicks', 0.349, 18.0, 18.0, 0.903], ['Milwaukee Bucks', 0.452, 11.0, 19.0, 0.829], 1]
[['Cleveland Cavaliers', 0.354, 16.0, 11.0, 0.727], ['Memphis Grizzlies', 0.488, 19.0, 12.0, 0.647], 1]
[['Dallas Mavericks', 0.391, 18.0, 13.0, 0.636], ['Phoenix Suns', 0.471, 8.0, 6.0, 0.677], 1]
[['New Orleans Pelicans', 0.396, 11.0, 5.0, 0.611], ['Portland Trail Blazers', 0.5, 12.0, 6.0, 0.857], 0]
[['Los Angeles Clippers', 0.436, 16.0, 12.0, 0.611], ['Sacramento Kings', 0.525, 15.0, 6.0, 0.677], 1]
[['Minnesota Timberwolves', 0.389, 13.0, 12.0, 0.914], ['Los Angeles Lakers', 0.458, 8.0, 6.0, 0.838], 1]
[['Memphis Grizzlies', 0.474, 20.0, 10.0, 0.708], ['Indiana Pacers', 0.5, 14.0, 12.0, 0.793], 1]
[['Atlanta Hawks', 0.409, 21.0, 16.0, 0.905], ['New York Knicks', 0.506, 15.0, 7.0, 0.692], 1]
[['Dallas Mavericks', 0.361, 12.0, 14.0, 0.8], ['Los Angeles Clippers', 0.437, 8.0, 8.0, 0.606], 0]
[['Utah Jazz', 0.302, 18.0, 8.0, 0.73], ['Philadelphia 76ers', 0.409, 7.0, 13.0, 0.8], 1]
[['Oklahoma City Thunder', 0.443, 16.0, 14.0, 0.789], ['Orlando Magic', 0.455, 20.0, 22.0, 0.816], 1]
[['Miami Heat', 0.429, 13.0, 6.0, 0.909], ['Cleveland Cavaliers', 0.453, 11.0, 14.0, 0.857], 0]
[['Chicago Bulls', 0.375, 14.0, 20.0, 0.5], ['Detroit Pistons', 0.405, 19.0, 8.0, 0.731], 0]
[['Toronto Raptors', 0.376, 17.0, 7.0, 0.78], ['Boston Celtics', 0.439, 21.0, 9.0, 0.857], 1]
[['Washington Wizards', 0.512, 16.0, 6.0, 0.786], ['Milwaukee Bucks', 0.515, 21.0, 8.0, 0.818], 1]
[['Charlotte Hornets', 0.409, 18.0, 13.0, 0.769], ['Atlanta Hawks', 0.434, 15.0, 8.0, 0.773], 0]
[['Brooklyn Nets', 0.403, 15.0, 2.0, 0.533], ['San Antonio Spurs', 0.465, 18.0, 12.0, 1.0], 0]
[['Minnesota Timberwolves', 0.305, 14.0, 17.0, 0.75], ['Denver Nuggets', 0.423, 17.0, 7.0, 0.805], 1]
[['Golden State Warriors', 0.366, 16.0, 12.0, 0.75], ['Houston Rockets', 0.462, 8.0, 11.0, 0.68], 1]
[['Los Angeles Lakers', 0.461, 19.0, 8.0, 0.778], ['Sacramento Kings', 0.515, 14.0, 16.0, 0.733], 0]
[['Portland Trail Blazers', 0.395, 23.0, 11.0, 0.789], ['Phoenix Suns', 0.446, 19.0, 11.0, 0.762], 0]
[['Utah Jazz', 0.4, 24.0, 7.0, 0.762], ['Indiana Pacers', 0.443, 17.0, 15.0, 0.722], 1]
[['New York Knicks', 0.422, 17.0, 11.0, 0.848], ['Washington Wizards', 0.477, 18.0, 9.0, 0.813], 1]
[['Golden State Warriors', 0.46, 15.0, 16.0, 0.87], ['New Orleans Pelicans', 0.548, 10.0, 3.0, 0.714], 1]
[['Brooklyn Nets', 0.425, 9.0, 11.0, 0.857], ['Memphis Grizzlies', 0.481, 12.0, 8.0, 0.667], 0]
[['Phoenix Suns', 0.415, 13.0, 11.0, 0.75], ['Portland Trail Blazers', 0.418, 16.0, 10.0, 0.571], 1]
[['Sacramento Kings', 0.426, 13.0, 19.0, 0.68], ['Los Angeles Clippers', 0.513, 17.0, 6.0, 0.696], 0]
[['Atlanta Hawks', 0.372, 11.0, 9.0, 0.933], ['Charlotte Hornets', 0.42, 11.0, 9.0, 0.929], 1]
[['San Antonio Spurs', 0.357, 16.0, 16.0, 0.786], ['Boston Celtics', 0.434, 18.0, 10.0, 0.72], 1]
[['Houston Rockets', 0.405, 17.0, 3.0, 0.833], ['Miami Heat', 0.488, 12.0, 11.0, 0.762], 0]
[['Milwaukee Bucks', 0.42, 18.0, 7.0, 1.0], ['Toronto Raptors', 0.456, 13.0, 18.0, 0.65], 0]
[['Orlando Magic', 0.379, 13.0, 11.0, 0.864], ['Chicago Bulls', 0.389, 16.0, 12.0, 0.588], 0]
[['Denver Nuggets', 0.38, 13.0, 14.0, 0.737], ['Oklahoma City Thunder', 0.523, 19.0, 13.0, 0.778], 0]
[['Dallas Mavericks', 0.365, 12.0, 8.0, 0.75], ['Los Angeles Lakers', 0.46, 11.0, 8.0, 0.75], 1]
[['Cleveland Cavaliers', 0.447, 13.0, 9.0, 0.739], ['Philadelphia 76ers', 0.519, 16.0, 7.0, 0.75], 1]
[['Milwaukee Bucks', 0.456, 18.0, 10.0, 0.818], ['Brooklyn Nets', 0.521, 14.0, 8.0, 0.692], 1]
[['San Antonio Spurs', 0.36, 10.0, 17.0, 0.762], ['New York Knicks', 0.494, 13.0, 8.0, 0.706], 1]
[['Oklahoma City Thunder', 0.461, 12.0, 7.0, 0.655], ['Houston Rockets', 0.476, 24.0, 14.0, 0.682], 0]
[['Portland Trail Blazers', 0.43, 15.0, 8.0, 0.769], ['Minnesota Timberwolves', 0.461, 16.0, 11.0, 0.75], 1]
[['Memphis Grizzlies', 0.271, 11.0, 11.0, 0.7], ['Golden State Warriors', 0.512, 14.0, 10.0, 0.733], 0]
[['Phoenix Suns', 0.367, 9.0, 16.0, 0.714], ['Los Angeles Clippers', 0.457, 11.0, 3.0, 0.87], 0]
[['Chicago Bulls', 0.489, 12.0, 4.0, 0.375], ['Charlotte Hornets', 0.516, 9.0, 12.0, 0.957], 0]
[['Indiana Pacers', 0.384, 23.0, 19.0, 0.647], ['Detroit Pistons', 0.432, 15.0, 12.0, 0.917], 1]
[['Atlanta Hawks', 0.411, 15.0, 16.0, 0.773], ['Miami Heat', 0.442, 18.0, 13.0, 0.688], 1]
[['Orlando Magic', 0.356, 14.0, 10.0, 0.72], ['New Orleans Pelicans', 0.467, 18.0, 10.0, 1.0], 1]
[['Toronto Raptors', 0.384, 15.0, 14.0, 0.72], ['Dallas Mavericks', 0.451, 16.0, 10.0, 0.885], 1]
[['Memphis Grizzlies', 0.392, 13.0, 8.0, 0.6], ['Sacramento Kings', 0.482, 16.0, 12.0, 0.8], 1]
[['Denver Nuggets', 0.419, 10.0, 11.0, 0.816], ['Los Angeles Lakers', 0.506, 14.0, 11.0, 0.871], 1]
[['Boston Celtics', 0.385, 14.0, 21.0, 0.759], ['Indiana Pacers', 0.422, 19.0, 15.0, 0.818], 0]
[['San Antonio Spurs', 0.457, 20.0, 9.0, 0.9], ['Washington Wizards', 0.483, 10.0, 4.0, 0.714], 0]
[['Brooklyn Nets', 0.434, 19.0, 14.0, 0.769], ['Atlanta Hawks', 0.487, 13.0, 6.0, 0.792], 0]
[['New York Knicks', 0.393, 12.0, 9.0, 0.8], ['Cleveland Cavaliers', 0.398, 11.0, 9.0, 0.719], 0]
[['Orlando Magic', 0.477, 19.0, 16.0, 0.706], ['Houston Rockets', 0.505, 14.0, 9.0, 0.789], 0]
[['Philadelphia 76ers', 0.407, 10.0, 8.0, 0.765], ['Milwaukee Bucks', 0.42, 18.0, 12.0, 0.867], 0]
[['Toronto Raptors', 0.418, 14.0, 12.0, 0.821], ['Oklahoma City Thunder', 0.476, 19.0, 11.0, 0.857], 1]
[['Sacramento Kings', 0.476, 17.0, 7.0, 0.5], ['Phoenix Suns', 0.542, 18.0, 9.0, 0.636], 0]
[['Portland Trail Blazers', 0.375, 9.0, 16.0, 0.636], ['Utah Jazz', 0.532, 19.0, 13.0, 0.469], 1]
[['Los Angeles Clippers', 0.459, 12.0, 9.0, 0.774], ['Golden State Warriors', 0.489, 11.0, 10.0, 0.636], 0]
[['Oklahoma City Thunder', 0.444, 6.0, 11.0, 0.81], ['Chicago Bulls', 0.452, 9.0, 9.0, 0.85], 0]
[['Miami Heat', 0.353, 16.0, 10.0, 0.909], ['Minnesota Timberwolves', 0.487, 16.0, 7.0, 0.72], 1]
[['Charlotte Hornets', 0.39, 13.0, 8.0, 0.889], ['Dallas Mavericks', 0.494, 11.0, 8.0, 0.824], 1]
[['Utah Jazz', 0.389, 13.0, 11.0, 0.676], ['Denver Nuggets', 0.435, 10.0, 12.0, 0.647], 1]
[['Memphis Grizzlies', 0.481, 8.0, 7.0, 0.714], ['Portland Trail Blazers', 0.506, 8.0, 14.0, 0.6], 0]
[['Toronto Raptors', 0.349, 9.0, 15.0, 0.759], ['Orlando Magic', 0.429, 12.0, 6.0, 0.773], 0]
[['Washington Wizards', 0.409, 24.0, 10.0, 0.783], ['Boston Celtics', 0.454, 17.0, 15.0, 0.783], 0]
[['Los Angeles Lakers', 0.423, 15.0, 5.0, 0.775], ['Brooklyn Nets', 0.43, 15.0, 14.0, 0.75], 1]
[['Philadelphia 76ers', 0.511, 17.0, 11.0, 0.667], ['Cleveland Cavaliers', 0.519, 16.0, 7.0, 0.667], 0]
[['Milwaukee Bucks', 0.407, 15.0, 14.0, 0.786], ['New York Knicks', 0.432, 12.0, 13.0, 0.897], 1]
[['Miami Heat', 0.444, 11.0, 7.0, 0.692], ['Indiana Pacers', 0.45, 12.0, 9.0, 0.542], 0]
[['Atlanta Hawks', 0.5, 12.0, 6.0, 0.875], ['New Orleans Pelicans', 0.532, 15.0, 6.0, 0.857], 1]
[['Detroit Pistons', 0.402, 16.0, 11.0, 0.615], ['Phoenix Suns', 0.5, 15.0, 6.0, 0.5], 1]
[['Denver Nuggets', 0.424, 19.0, 10.0, 0.818], ['Golden State Warriors', 0.495, 20.0, 13.0, 0.556], 0]
[['Houston Rockets', 0.43, 15.0, 14.0, 0.724], ['Sacramento Kings', 0.488, 21.0, 14.0, 0.778], 1]
[['Minnesota Timberwolves', 0.355, 18.0, 10.0, 0.696], ['Chicago Bulls', 0.406, 15.0, 14.0, 0.63], 1]
[['Orlando Magic', 0.45, 16.0, 10.0, 0.538], ['Philadelphia 76ers', 0.47, 13.0, 10.0, 0.875], 1]
