[['New York Knicks', 0.368, 18.0, 13.0, 0.75], ['Cleveland Cavaliers', 0.479, 14.0, 11.0, 0.737], 0]
[['Utah Jazz', 0.488, 11.0, 6.0, 1.0], ['Portland Trail Blazers', 0.52, 12.0, 5.0, 1.0], 0]
[['San Antonio Spurs', 0.471, 16.0, 8.0, 0.722], ['Golden State Warriors', 0.48, 13.0, 21.0, 0.885], 1]
[['Dallas Mavericks', 0.433, 15.0, 10.0, 0.722], ['Indiana Pacers', 0.505, 16.0, 8.0, 0.765], 0]
[['Miami Heat', 0.382, 11.0, 15.0, 0.786], ['Orlando Magic', 0.485, 10.0, 16.0, 0.625], 1]
[['Brooklyn Nets', 0.443, 16.0, 15.0, 0.8], ['Boston Celtics', 0.539, 19.0, 12.0, 0.833], 0]
[['Detroit Pistons', 0.417, 13.0, 8.0, 0.773], ['Toronto Raptors', 0.477, 11.0, 14.0, 0.828], 0]
[['Denver Nuggets', 0.413, 11.0, 5.0, 0.885], ['New Orleans Pelicans', 0.446, 24.0, 11.0, 0.758], 1]
[['Charlotte Hornets', 0.424, 8.0, 10.0, 0.75], ['Milwaukee Bucks', 0.449, 10.0, 11.0, 0.833], 1]
[['Minnesota Timberwolves', 0.419, 10.0, 15.0, 0.69], ['Memphis Grizzlies', 0.45, 13.0, 11.0, 0.704], 0]
[['Oklahoma City Thunder', 0.415, 10.0, 13.0, 0.731], ['Philadelphia 76ers', 0.429, 13.0, 5.0, 0.72], 1]
[['Sacramento Kings', 0.468, 18.0, 10.0, 0.667], ['Phoenix Suns', 0.512, 13.0, 10.0, 0.731], 1]
[['Houston Rockets', 0.506, 15.0, 11.0, 0.818], ['Los Angeles Lakers', 0.512, 14.0, 10.0, 0.704], 0]
[['Washington Wizards', 0.426, 19.0, 12.0, 0.722], ['Atlanta Hawks', 0.5, 21.0, 14.0, 0.778], 0]
[['Boston Celtics', 0.391, 12.0, 18.0, 0.733], ['Chicago Bulls', 0.5, 11.0, 3.0, 0.625], 0]
[['Los Angeles Clippers', 0.407, 7.0, 15.0, 0.696], ['Portland Trail Blazers', 0.459, 14.0, 9.0, 0.75], 1]
[['San Antonio Spurs', 0.4, 15.0, 6.0, 0.842], ['Sacramento Kings', 0.456, 9.0, 9.0, 0.889], 1]
[['Cleveland Cavaliers', 0.389, 18.0, 18.0, 0.944], ['Toronto Raptors', 0.418, 17.0, 9.0, 0.727], 1]
[['Indiana Pacers', 0.378, 13.0, 14.0, 0.65], ['Brooklyn Nets', 0.437, 16.0, 12.0, 0.85], 0]
[['Orlando Magic', 0.347, 9.0, 14.0, 0.667], ['Detroit Pistons', 0.505, 12.0, 9.0, 0.833], 0]
[['Phoenix Suns', 0.417, 22.0, 14.0, 0.737], ['Oklahoma City Thunder', 0.447, 15.0, 7.0, 0.656], 0]
[['Charlotte Hornets', 0.372, 19.0, 11.0, 0.65], ['Miami Heat', 0.38, 8.0, 13.0, 0.833], 1]
[['Houston Rockets', 0.438, 9.0, 6.0, 0.833], ['Dallas Mavericks', 0.471, 18.0, 5.0, 0.806], 1]
[['Los Angeles Lakers', 0.381, 14.0, 11.0, 0.762], ['Utah Jazz', 0.413, 14.0, 13.0, 0.7], 0]
[['Golden State Warriors', 0.47, 13.0, 12.0, 0.652], ['New Orleans Pelicans', 0.484, 14.0, 9.0, 0.893], 1]
[['Atlanta Hawks', 0.35, 20.0, 4.0, 0.733], ['Philadelphia 76ers', 0.494, 12.0, 6.0, 0.652], 1]
[['Boston Celtics', 0.405, 8.0, 6.0, 0.758], ['Charlotte Hornets', 0.481, 13.0, 4.0, 0.647], 1]
[['Orlando Magic', 0.409, 9.0, 13.0, 0.733], ['Cleveland Cavaliers', 0.452, 20.0, 13.0, 0.577], 0]
[['Memphis Grizzlies', 0.43, 12.0, 11.0, 0.808], ['New York Knicks', 0.526, 12.0, 6.0, 0.641], 0]
[['New Orleans Pelicans', 0.372, 9.0, 7.0, 0.733], ['San Antonio Spurs', 0.422, 9.0, 6.0, 0.783], 0]
[['Brooklyn Nets', 0.44, 18.0, 11.0, 0.821], ['Milwaukee Bucks', 0.466, 14.0, 8.0, 0.833], 0]
[['Indiana Pacers', 0.489, 13.0, 8.0, 0.889], ['Chicago Bulls', 0.523, 12.0, 13.0, 0.905], 0]
[['Portland Trail Blazers', 0.38, 17.0, 16.0, 0.795], ['Denver Nuggets', 0.459, 15.0, 5.0, 0.714], 1]
[['Minnesota Timberwolves', 0.459, 13.0, 11.0, 0.76], ['Sacramento Kings', 0.529, 11.0, 7.0, 0.71], 0]
[['Utah Jazz', 0.397, 18.0, 7.0, 0.769], ['Los Angeles Clippers', 0.41, 13.0, 14.0, 0.7], 0]
[['Milwaukee Bucks', 0.391, 12.0, 10.0, 0.786], ['Detroit Pistons', 0.443, 15.0, 16.0, 0.75], 0]
[['Golden State Warriors', 0.411, 11.0, 11.0, 0.72], ['Phoenix Suns', 0.422, 15.0, 7.0, 0.848], 1]
[['San Antonio Spurs', 0.451, 15.0, 14.0, 0.846], ['Miami Heat', 0.463, 12.0, 6.0, 0.692], 1]
[['Los Angeles Lakers', 0.402, 21.0, 11.0, 0.792], ['Oklahoma City Thunder', 0.474, 19.0, 10.0, 0.824], 0]
[['Washington Wizards', 0.442, 14.0, 8.0, 0.88], ['Memphis Grizzlies', 0.443, 14.0, 11.0, 0.731], 0]
[['Dallas Mavericks', 0.372, 9.0, 13.0, 0.85], ['Houston Rockets', 0.42, 17.0, 9.0, 0.667], 0]
[['Sacramento Kings', 0.418, 13.0, 17.0, 0.617], ['Atlanta Hawks', 0.48, 19.0, 6.0, 0.684], 0]
[['Chicago Bulls', 0.344, 15.0, 16.0, 0.81], ['Brooklyn Nets', 0.506, 19.0, 13.0, 0.944], 1]
[['Denver Nuggets', 0.407, 8.0, 11.0, 0.771], ['Toronto Raptors', 0.466, 7.0, 11.0, 0.76], 0]
[['Phoenix Suns', 0.417, 20.0, 10.0, 0.742], ['Los Angeles Clippers', 0.5, 16.0, 5.0, 0.789], 0]
[['Houston Rockets', 0.478, 7.0, 11.0, 0.68], ['Cleveland Cavaliers', 0.518, 11.0, 12.0, 0.839], 0]
[['Los Angeles Lakers', 0.449, 19.0, 11.0, 0.88], ['Indiana Pacers', 0.471, 15.0, 11.0, 0.793], 0]
[['Orlando Magic', 0.452, 10.0, 12.0, 0.765], ['Philadelphia 76ers', 0.494, 15.0, 7.0, 0.75], 1]
[['New York Knicks', 0.407, 11.0, 8.0, 0.8], ['Detroit Pistons', 0.461, 10.0, 10.0, 0.571], 0]
[['Sacramento Kings', 0.382, 15.0, 9.0, 0.852], ['Miami Heat', 0.43, 15.0, 6.0, 0.724], 0]
[['Memphis Grizzlies', 0.36, 20.0, 8.0, 0.759], ['Minnesota Timberwolves', 0.551, 21.0, 10.0, 0.783], 0]
[['Milwaukee Bucks', 0.439, 13.0, 9.0, 0.78], ['New Orleans Pelicans', 0.484, 15.0, 11.0, 0.905], 1]
[['Utah Jazz', 0.434, 9.0, 4.0, 0.905], ['San Antonio Spurs', 0.5, 10.0, 2.0, 0.833], 1]
[['Golden State Warriors', 0.43, 18.0, 6.0, 0.762], ['Portland Trail Blazers', 0.562, 16.0, 7.0, 0.739], 1]
[['Philadelphia 76ers', 0.395, 17.0, 8.0, 0.867], ['Charlotte Hornets', 0.494, 15.0, 9.0, 0.692], 0]
[['Toronto Raptors', 0.558, 13.0, 4.0, 0.68], ['Washington Wizards', 0.583, 20.0, 6.0, 0.667], 1]
[['Los Angeles Lakers', 0.482, 18.0, 10.0, 0.793], ['Atlanta Hawks', 0.533, 15.0, 11.0, 0.9], 1]
[['Detroit Pistons', 0.42, 13.0, 10.0, 0.857], ['Brooklyn Nets', 0.539, 19.0, 5.0, 0.824], 0]
[['Houston Rockets', 0.435, 16.0, 7.0, 0.68], ['New York Knicks', 0.472, 19.0, 19.0, 0.704], 1]
[['Chicago Bulls', 0.432, 19.0, 15.0, 0.742], ['Boston Celtics', 0.471, 12.0, 10.0, 0.647], 0]
[['New Orleans Pelicans', 0.351, 17.0, 13.0, 0.75], ['Memphis Grizzlies', 0.37, 21.0, 5.0, 0.75], 0]
[['Dallas Mavericks', 0.429, 12.0, 6.0, 0.8], ['Utah Jazz', 0.455, 12.0, 7.0, 0.577], 0]
[['Portland Trail Blazers', 0.416, 14.0, 10.0, 0.905], ['Phoenix Suns', 0.427, 12.0, 14.0, 0.833], 0]
[['Oklahoma City Thunder', 0.391, 17.0, 8.0, 0.444], ['Los Angeles Clippers', 0.405, 21.0, 10.0, 0.6], 1]
[['Sacramento Kings', 0.452, 14.0, 13.0, 0.696], ['Orlando Magic', 0.475, 14.0, 11.0, 0.647], 0]
[['Boston Celtics', 0.479, 8.0, 10.0, 0.864], ['Cleveland Cavaliers', 0.488, 8.0, 7.0, 0.865], 0]
[['Indiana Pacers', 0.469, 21.0, 10.0, 0.778], ['Milwaukee Bucks', 0.573, 21.0, 12.0, 0.792], 0]
[['Denver Nuggets', 0.398, 16.0, 14.0, 0.8], ['Minnesota Timberwolves', 0.481, 20.0, 7.0, 0.72], 1]
[['Oklahoma City Thunder', 0.402, 16.0, 13.0, 0.571], ['Golden State Warriors', 0.517, 15.0, 15.0, 0.8], 0]
[['Atlanta Hawks', 0.386, 18.0, 10.0, 0.639], ['Washington Wizards', 0.388, 19.0, 11.0, 0.8], 0]
[['Charlotte Hornets', 0.402, 15.0, 7.0, 0.762], ['Brooklyn Nets', 0.419, 16.0, 7.0, 0.708], 1]
[['Miami Heat', 0.386, 13.0, 12.0, 0.667], ['Toronto Raptors', 0.44, 15.0, 13.0, 0.889], 0]
[['New York Knicks', 0.44, 12.0, 15.0, 0.815], ['Chicago Bulls', 0.517, 5.0, 11.0, 0.762], 1]
[['Los Angeles Clippers', 0.369, 18.0, 13.0, 0.773], ['Memphis Grizzlies', 0.376, 11.0, 11.0, 0.818], 1]
[['Phoenix Suns', 0.43, 15.0, 12.0, 0.857], ['New Orleans Pelicans', 0.457, 8.0, 6.0, 0.536], 1]
[['Portland Trail Blazers', 0.41, 12.0, 7.0, 0.85], ['Dallas Mavericks', 0.45, 14.0, 7.0, 0.808], 1]
[['San Antonio Spurs', 0.375, 12.0, 9.0, 0.625], ['Utah Jazz', 0.446, 11.0, 9.0, 0.909], 1]
[['Golden State Warriors', 0.453, 20.0, 9.0, 0.7], ['Los Angeles Lakers', 0.474, 16.0, 16.0, 0.905], 0]
[['Minnesota Timberwolves', 0.393, 17.0, 17.0, 0.759], ['Oklahoma City Thunder', 0.523, 12.0, 11.0, 0.625], 0]
[['Denver Nuggets', 0.33, 16.0, 16.0, 0.85], ['Detroit Pistons', 0.476, 13.0, 9.0, 0.727], 0]
[['Chicago Bulls', 0.43, 16.0, 13.0, 0.8], ['Indiana Pacers', 0.535, 11.0, 8.0, 0.583], 0]
[['Washington Wizards', 0.395, 10.0, 14.0, 0.706], ['Orlando Magic', 0.397, 8.0, 10.0, 0.63], 0]
[['Cleveland Cavaliers', 0.407, 16.0, 11.0, 0.778], ['Philadelphia 76ers', 0.46, 17.0, 5.0, 0.583], 1]
[['Houston Rockets', 0.435, 26.0, 12.0, 0.846], ['Atlanta Hawks', 0.529, 19.0, 13.0, 0.583], 0]
[['Sacramento Kings', 0.393, 14.0, 13.0, 0.789], ['Milwaukee Bucks', 0.5, 15.0, 17.0, 0.84], 0]
[['Los Angeles Clippers', 0.405, 15.0, 7.0, 0.88], ['San Antonio Spurs', 0.516, 8.0, 7.0, 0.929], 1]
[['Utah Jazz', 0.506, 12.0, 10.0, 0.895], ['New York Knicks', 0.507, 10.0, 7.0, 0.857], 1]
[['Portland Trail Blazers', 0.383, 13.0, 12.0, 0.813], ['Memphis Grizzlies', 0.451, 15.0, 5.0, 0.815], 1]
[['Sacramento Kings', 0.357, 6.0, 13.0, 0.774], ['Toronto Raptors', 0.436, 9.0, 13.0, 0.742], 1]
[['Milwaukee Bucks', 0.366, 27.0, 9.0, 0.75], ['Dallas Mavericks', 0.375, 15.0, 10.0, 0.917], 0]
[['Denver Nuggets', 0.456, 11.0, 11.0, 0.81], ['Boston Celtics', 0.524, 17.0, 9.0, 0.774], 1]
[['Phoenix Suns', 0.44, 17.0, 11.0, 0.786], ['Los Angeles Lakers', 0.456, 19.0, 15.0, 0.771], 0]
[['Indiana Pacers', 0.426, 18.0, 12.0, 0.733], ['Charlotte Hornets', 0.488, 11.0, 3.0, 0.875], 0]
[['Utah Jazz', 0.403, 18.0, 9.0, 0.682], ['Philadelphia 76ers', 0.506, 10.0, 10.0, 0.6], 1]
[['Houston Rockets', 0.415, 13.0, 16.0, 0.9], ['Washington Wizards', 0.519, 18.0, 6.0, 0.833], 1]
[['Orlando Magic', 0.388, 14.0, 6.0, 0.833], ['Chicago Bulls', 0.472, 8.0, 15.0, 0.806], 0]
[['Miami Heat', 0.369, 12.0, 12.0, 0.864], ['Oklahoma City Thunder', 0.435, 16.0, 10.0, 0.824], 0]
[['New Orleans Pelicans', 0.488, 19.0, 11.0, 0.778], ['Golden State Warriors', 0.5, 15.0, 10.0, 0.833], 0]
[['Detroit Pistons', 0.366, 11.0, 11.0, 0.692], ['Los Angeles Clippers', 0.539, 10.0, 2.0, 0.864], 0]
[['Atlanta Hawks', 0.374, 6.0, 13.0, 0.84], ['Cleveland Cavaliers', 0.506, 19.0, 11.0, 0.708], 1]
[['Minnesota Timberwolves', 0.424, 16.0, 15.0, 0.714], ['Brooklyn Nets', 0.553, 20.0, 5.0, 0.885], 0]
[['Denver Nuggets', 0.5, 22.0, 6.0, 0.794], ['Memphis Grizzlies', 0.512, 14.0, 8.0, 0.684], 0]
